Model,BLEU,Inference_Time,Model_Size(M),TOPSIS_Score,Rank
microsoft/DialoGPT-small,0.010133318488004712,0.2345535612106323,124.439808,0.9675629684865343,1.0
microsoft/DialoGPT-medium,0.008710222548571837,1.0094636750221253,354.823168,0.781381784764122,2.0
facebook/blenderbot-400M-distill,0.00788501592668303,10.067546474933625,364.80256,0.44365042774587327,5.0
google/flan-t5-base,0.0,0.8631194210052491,247.577856,0.4556543603130084,4.0
distilgpt2,0.003954567614794973,2.0406781458854675,81.912576,0.5837825128259824,3.0
